run_dir,tag,version,slurm_jobids,node_host,pid,gpu,started_utc,ended_utc,minutes,epochs,learning_rate,best_val_esr,last_val_esr,scalar_points,match_method,slurm_node,host_matches_slurm,checkpoints,checkpoint_bytes,checkpoint_sha256
lightning_logs_misaligned_grid/clean-wavenet_186ms/version_0,clean-wavenet_186ms,version_0,739618,msp3-1,3376058,NVIDIA H200,2026-08-23 16:45:13,2026-08-23 17:11:57,26.7,40,0.001,0.00012267789861653,0.00021544126502703875,1429,checkpoint-path,msp3-1,True,2,6185138,5bf4af479e0e78fb 5bf4af479e0e78fb
lightning_logs_misaligned_grid/clean-wavenet_46ms/version_0,clean-wavenet_46ms,version_0,739617,msp3-1,3374661,NVIDIA H200,2026-08-23 16:42:53,2026-08-23 17:05:32,22.7,40,0.001,0.00024938114802353084,0.0013594652991741896,1429,checkpoint-path,msp3-1,True,2,5221298,90dc52e6760de1ed 90dc52e6760de1ed
lightning_logs_misaligned_grid/metal-ampformer_48ms/version_0,metal-ampformer_48ms,version_0,739686,msp3-3,64777,NVIDIA H200,2026-08-23 17:25:31,2026-08-23 17:28:40,3.1,40,0.001,0.0674673467874527,0.0674673467874527,1429,checkpoint-path,msp3-3,True,2,5091994,590b3ea9df7d49b4 590b3ea9df7d49b4
lightning_logs_misaligned_grid/metal-wavenet_186ms/version_0,metal-wavenet_186ms,version_0,739685,msp3-1,3404144,,2026-08-23 17:25:16,2026-08-23 17:28:52,3.6,6,0.001,0.11316395550966263,0.11316395550966263,190,tag+window,msp3-1,True,2,6185138,0fd2572f40a16eb4 0fd2572f40a16eb4
lightning_logs_misaligned_grid/metal-wavenet_46ms/version_0,metal-wavenet_46ms,version_0,739684,msp3-3,64412,,2026-08-23 17:25:15,2026-08-23 17:28:52,3.6,7,0.001,0.15692460536956787,0.15692460536956787,225,tag+window,msp3-3,True,2,5221298,a3385a602371d630 a3385a602371d630
lightning_logs_misaligned_grid/preamp-ampformer_187ms/version_0,preamp-ampformer_187ms,version_0,739624,msp3-3,50097,NVIDIA H200,2026-08-23 17:02:49,2026-08-23 17:05:51,3.0,40,0.001,0.21870869398117065,0.21870869398117065,1429,checkpoint-path,msp3-3,True,2,5091994,cf031d501b867967 cf031d501b867967
lightning_logs_misaligned_grid/preamp-ampformer_48ms/version_0,preamp-ampformer_48ms,version_0,737363,msp3-0,2951039,NVIDIA H200,2026-08-22 19:41:29,2026-08-22 19:41:42,0.2,1,0.001,1.307538390159607,1.307538390159607,36,checkpoint-path,msp3-0,True,2,5091930,5636c842f49559e4 27b8e67d8be68c0a
lightning_logs_misaligned_grid/preamp-ampformer_48ms/version_1,preamp-ampformer_48ms,version_1,739623,msp3-3,50096,NVIDIA H200,2026-08-23 17:02:49,2026-08-23 17:05:55,3.1,40,0.001,0.3078113794326782,0.3078113794326782,1429,checkpoint-path,msp3-3,True,2,5091994,89a19c8e6c66173c 89a19c8e6c66173c
lightning_logs_misaligned_grid/preamp-wavenet_186ms/version_0,preamp-wavenet_186ms,version_0,739622,msp3-1,3384775,NVIDIA H200,2026-08-23 16:52:31,2026-08-23 17:19:30,27.0,40,0.001,0.01668480783700943,0.6293697357177734,1429,checkpoint-path,msp3-1,True,2,6185138,32ffc619867c6640 32ffc619867c6640
lightning_logs_misaligned_grid/preamp-wavenet_46ms/version_0,preamp-wavenet_46ms,version_0,739621,msp3-1,3382295,NVIDIA H200,2026-08-23 16:50:32,2026-08-23 17:13:21,22.8,40,0.001,0.05566637963056564,0.25622475147247314,1429,checkpoint-path,msp3-1,True,2,5221298,3aca1a06ef64ec7e 3aca1a06ef64ec7e
